ID,Comment,de,en,fr
campaign_greeting,,"Hallo! Das ist ein automatisierter Anruf der Kampagne gegen die Chatkontrolle.","Hello, this is an automated call from the Campaign Against Chat Control.","Bonjour, il s'agit d'un appel automatisé de la campagne contre le contrôle des chats."
generic_please_press,"Generic prompt to press a key. Will be followed by a digit.","Bitte drücke die","Please press the","Veuillez appuyer sur la touche"
generic_choice_press,"Generic fragment after a menu choice. Will be followed by a digit.","Dann drücke die","Then press the","Appuyez ensuite sur la touche"
key_1,"Key on the phone. May be followed by the rest of a sentence or not, keep the pronunciation open for that.","1","1","1"
key_2,"Key on the phone. May be followed by the rest of a sentence or not, keep the pronunciation open for that.","2","2","2"
key_3,"Key on the phone. May be followed by the rest of a sentence or not, keep the pronunciation open for that.","3","3","3"
key_4,"Key on the phone. May be followed by the rest of a sentence or not, keep the pronunciation open for that.","4","3","4"
key_5,"Key on the phone. May be followed by the rest of a sentence or not, keep the pronunciation open for that.","5","5","5"
key_6,"Key on the phone. May be followed by the rest of a sentence or not, keep the pronunciation open for that.","6","6","6"
key_7,"Key on the phone. May be followed by the rest of a sentence or not, keep the pronunciation open for that.","7","7","7"
key_8,"Key on the phone. May be followed by the rest of a sentence or not, keep the pronunciation open for that.","8","8","8"
key_9,"Key on the phone. May be followed by the rest of a sentence or not, keep the pronunciation open for that.","9","9","9"
key_0,"Key on the phone. May be followed by the rest of a sentence or not, keep the pronunciation open for that.","0","0","0"
generic_on_keypad,"Short introduction fragment to help non tech-savvy people find the key. Follows a digit.","auf der Tastatur deines Telefons.","on the keypad of your phone.","sur le clavier de votre téléphone."
generic_invalid_input,"When the User pressed a digit that is not a valid choice.","Das ist keine gültige Auswahl.","This is not a valid selection.","La selection n’est pas valable."
generic_no_input,"When the User does not press a digit at all.","Wir haben keine Auswahl von dir erhalten. Deshalb legen wir jetzt auf.","We have not received a selection from you. That is why we are hanging up now.","Nous n'avons pas reçu de sélection de votre part. C'est pourquoi nous raccrochons maintenant."
generic_thank_you,"Short interjection, e.g. after a choice has been made.","Vielen Dank!","Thank you very much!","Merci beaucoup !"
generic_goodbye,"Used before hanging up on the User.","Bis bald!","See you soon!","A bientôt !"
captcha_intro,"Instead of playing the whole menu to a mailbox, we may ask for a digit first and add this as an explanation.","Dadurch wissen wir, dass wir mit einem Menschen sprechen, und nicht mit einer Mailbox.","This is how we know we are talking to a human being and not a voicemail.","C’est pour vérifier que nous parlons à un être humain et non à une boîte vocale."
main_choice_instant_1,"Followed by a name.","Du möchtest mit","Do you want us to connect you with ","Voulez-vous que nous vous mettions en contact avec "
main_choice_instant_2,"Follows a name.","verbunden werden? Dann drücke die 1.","Then press 1.","Appuyez sur 1."
main_scheduled_intro,"Explains to the User why we’re calling right now.","Du hattest uns gebeten, dich zu diesem Termin anzurufen.","You asked us to call you for this appointment.","Vous nous avez demandé de vous appeler pour ce rendez-vous."
main_choice_scheduled_1,"Followed by a name.","Wir würden dich jetzt gern mit","We would like to connect you now with","Nous aimerions vous mettre en contact avec"
main_choice_scheduled_2,"Follows a name. Followed by a parliamentary group.","von der Fraktion","From the Group","Du groupe"
main_choice_scheduled_3,"Follows a parliamentary group.","verbinden. Wenn du damit einverstanden bist, drücke die 1.","If you agree, press 1.","Si vous êtes d'accord, appuyez sur 1."
main_choice_postpone,,"Wenn du gerade keine Zeit hast, drücke die 2.","If you don't have time right now, press 2.","Si vous n'avez pas le temps maintenant, appuyez sur 2."
